alarm_time,alarm_end,duration_h
2017-10-13 13:15:00+00:00,2017-10-13 15:30:00+00:00,2.25
2017-10-15 14:45:00+00:00,2017-10-15 16:00:00+00:00,1.25
2017-10-24 01:00:00+00:00,2017-10-24 04:45:00+00:00,3.75
2017-10-24 06:15:00+00:00,2017-10-24 11:45:00+00:00,5.5
2017-10-29 01:00:00+00:00,2017-10-29 08:00:00+00:00,7.0
2017-10-29 10:00:00+00:00,2017-10-29 10:15:00+00:00,0.25
2017-10-29 22:00:00+00:00,2017-10-30 00:45:00+00:00,2.75
2017-11-10 14:00:00+00:00,2017-11-10 14:30:00+00:00,0.5
2017-11-10 17:30:00+00:00,2017-11-10 18:45:00+00:00,1.25
2017-11-11 13:30:00+00:00,2017-11-11 14:15:00+00:00,0.75
2017-11-11 17:00:00+00:00,2017-11-12 10:30:00+00:00,17.5
2017-11-18 07:30:00+00:00,2017-11-18 09:30:00+00:00,2.0
2017-11-27 15:15:00+00:00,2017-11-27 16:45:00+00:00,1.5
2017-11-27 18:00:00+00:00,2017-11-27 18:30:00+00:00,0.5
2017-11-28 16:15:00+00:00,2017-11-28 17:00:00+00:00,0.75
2017-11-28 20:45:00+00:00,2017-11-28 21:15:00+00:00,0.5
2017-11-30 04:30:00+00:00,2017-11-30 06:45:00+00:00,2.25
2017-11-30 09:45:00+00:00,2017-11-30 11:30:00+00:00,1.75
2017-11-30 16:30:00+00:00,2017-11-30 17:15:00+00:00,0.75
2017-12-01 10:00:00+00:00,2017-12-01 10:15:00+00:00,0.25
2017-12-01 23:15:00+00:00,2017-12-02 01:00:00+00:00,1.75
2017-12-11 05:30:00+00:00,2017-12-11 07:45:00+00:00,2.25
2017-12-16 05:00:00+00:00,2017-12-16 05:30:00+00:00,0.5
2017-12-20 03:30:00+00:00,2017-12-20 15:00:00+00:00,11.5
2017-12-20 20:00:00+00:00,2017-12-21 00:00:00+00:00,4.0
2017-12-21 03:00:00+00:00,2017-12-21 14:45:00+00:00,11.75
2017-12-26 15:00:00+00:00,2017-12-26 18:00:00+00:00,3.0
2017-12-26 20:45:00+00:00,2017-12-27 15:00:00+00:00,18.25
2017-12-29 10:45:00+00:00,2017-12-29 11:00:00+00:00,0.25
2017-12-30 03:30:00+00:00,2017-12-30 04:45:00+00:00,1.25
2017-12-30 06:15:00+00:00,2017-12-30 09:15:00+00:00,3.0
2018-01-20 03:15:00+00:00,2018-01-20 03:45:00+00:00,0.5
2018-01-20 06:30:00+00:00,2018-01-20 08:15:00+00:00,1.75
2018-01-20 23:15:00+00:00,2018-01-21 00:30:00+00:00,1.25
2018-01-21 06:45:00+00:00,2018-01-21 07:00:00+00:00,0.25
2018-01-21 08:30:00+00:00,2018-01-21 09:15:00+00:00,0.75
2018-01-27 23:15:00+00:00,2018-01-28 04:00:00+00:00,4.75
2018-02-01 22:00:00+00:00,2018-02-01 22:45:00+00:00,0.75
2018-02-02 00:00:00+00:00,2018-02-02 01:45:00+00:00,1.75
2018-02-02 13:00:00+00:00,2018-02-02 13:30:00+00:00,0.5
2018-02-05 07:15:00+00:00,2018-02-05 09:00:00+00:00,1.75
2018-02-05 16:30:00+00:00,2018-02-05 22:30:00+00:00,6.0
2018-02-06 00:15:00+00:00,2018-02-06 04:30:00+00:00,4.25
2018-02-07 02:30:00+00:00,2018-02-07 03:00:00+00:00,0.5
2018-02-07 23:30:00+00:00,2018-02-08 05:00:00+00:00,5.5
2018-02-13 10:45:00+00:00,2018-02-13 11:15:00+00:00,0.5
2018-02-14 11:45:00+00:00,2018-02-14 14:45:00+00:00,3.0
2018-02-14 17:30:00+00:00,2018-02-15 06:15:00+00:00,12.75
2018-02-15 14:30:00+00:00,2018-02-16 00:00:00+00:00,9.5
2018-02-18 04:45:00+00:00,2018-02-21 11:45:00+00:00,79.0
2018-02-22 02:00:00+00:00,2018-02-22 02:15:00+00:00,0.25
2018-02-22 14:00:00+00:00,2018-02-22 21:45:00+00:00,7.75
2018-02-23 00:30:00+00:00,2018-02-23 01:00:00+00:00,0.5
2018-02-23 22:45:00+00:00,2018-02-23 23:30:00+00:00,0.75
2018-02-24 18:00:00+00:00,2018-02-24 20:15:00+00:00,2.25
2018-02-25 14:30:00+00:00,2018-02-25 15:00:00+00:00,0.5
2018-02-25 17:00:00+00:00,2018-02-25 19:30:00+00:00,2.5
2018-02-26 03:30:00+00:00,2018-02-26 20:30:00+00:00,17.0
2018-02-26 23:15:00+00:00,2018-02-27 02:00:00+00:00,2.75
2018-03-02 12:30:00+00:00,2018-03-02 14:30:00+00:00,2.0
2018-03-03 00:00:00+00:00,2018-03-03 01:00:00+00:00,1.0
2018-03-13 15:30:00+00:00,2018-03-13 16:00:00+00:00,0.5
2018-03-14 05:00:00+00:00,2018-03-14 05:30:00+00:00,0.5
2018-03-18 17:00:00+00:00,2018-03-18 18:45:00+00:00,1.75
2018-03-18 21:00:00+00:00,2018-03-19 02:15:00+00:00,5.25
2018-03-23 02:15:00+00:00,2018-03-23 05:00:00+00:00,2.75
2018-03-24 07:30:00+00:00,2018-03-26 02:00:00+00:00,42.5
2018-03-26 03:45:00+00:00,2018-03-26 04:00:00+00:00,0.25
2018-03-26 05:30:00+00:00,2018-03-26 06:00:00+00:00,0.5
2018-03-30 02:45:00+00:00,2018-03-30 04:15:00+00:00,1.5
2018-03-31 22:15:00+00:00,2018-04-01 00:45:00+00:00,2.5
2018-04-02 15:30:00+00:00,2018-04-03 07:45:00+00:00,16.25
2018-04-04 14:15:00+00:00,2018-04-04 15:15:00+00:00,1.0
2018-04-05 08:15:00+00:00,2018-04-05 09:45:00+00:00,1.5
2018-04-05 12:00:00+00:00,2018-04-05 16:15:00+00:00,4.25
2018-04-05 21:15:00+00:00,2018-04-05 21:30:00+00:00,0.25
2018-04-05 23:00:00+00:00,2018-04-06 01:15:00+00:00,2.25
2018-04-06 16:45:00+00:00,2018-04-07 01:00:00+00:00,8.25
2018-04-07 15:15:00+00:00,2018-04-08 10:15:00+00:00,19.0
2018-04-08 13:30:00+00:00,2018-04-08 21:45:00+00:00,8.25
2018-04-09 01:00:00+00:00,2018-04-09 02:45:00+00:00,1.75
2018-04-09 04:00:00+00:00,2018-04-09 12:45:00+00:00,8.75
2018-04-10 14:00:00+00:00,2018-04-10 14:45:00+00:00,0.75
2018-04-10 17:30:00+00:00,2018-04-10 18:00:00+00:00,0.5
2018-04-10 20:45:00+00:00,2018-04-10 21:15:00+00:00,0.5
2018-04-11 06:15:00+00:00,2018-04-11 08:15:00+00:00,2.0
2018-04-12 12:45:00+00:00,2018-04-12 22:45:00+00:00,10.0
2018-04-13 09:30:00+00:00,2018-04-13 10:00:00+00:00,0.5
2018-04-13 11:30:00+00:00,2018-04-13 12:30:00+00:00,1.0
2018-04-14 04:00:00+00:00,2018-04-15 06:00:00+00:00,26.0
2018-04-15 13:15:00+00:00,2018-04-15 15:45:00+00:00,2.5
2018-04-16 07:15:00+00:00,2018-04-16 16:30:00+00:00,9.25
2018-04-19 09:15:00+00:00,2018-04-19 10:15:00+00:00,1.0
2018-04-21 21:45:00+00:00,2018-04-21 22:30:00+00:00,0.75
2018-04-22 07:00:00+00:00,2018-04-22 09:45:00+00:00,2.75
2018-04-24 21:45:00+00:00,2018-04-24 22:00:00+00:00,0.25
2018-04-25 02:00:00+00:00,2018-04-25 02:45:00+00:00,0.75
2018-04-26 18:00:00+00:00,2018-04-26 18:30:00+00:00,0.5
2018-04-26 20:45:00+00:00,2018-04-26 22:30:00+00:00,1.75
2018-04-27 04:00:00+00:00,2018-04-27 11:15:00+00:00,7.25
2018-05-02 16:00:00+00:00,2018-05-02 18:30:00+00:00,2.5
2018-05-02 20:15:00+00:00,2018-05-02 22:15:00+00:00,2.0
2018-05-03 11:30:00+00:00,2018-05-03 12:00:00+00:00,0.5
2018-05-03 20:00:00+00:00,2018-05-03 20:45:00+00:00,0.75
2018-05-05 03:15:00+00:00,2018-05-05 14:45:00+00:00,11.5
2018-05-07 20:00:00+00:00,2018-05-08 03:15:00+00:00,7.25
2018-05-08 09:30:00+00:00,2018-05-08 10:30:00+00:00,1.0
2018-05-08 15:45:00+00:00,2018-05-09 03:00:00+00:00,11.25
2018-05-11 21:15:00+00:00,2018-05-11 21:45:00+00:00,0.5
2018-05-11 23:15:00+00:00,2018-05-12 01:00:00+00:00,1.75
2018-05-14 12:30:00+00:00,2018-05-14 13:30:00+00:00,1.0
2018-05-14 15:30:00+00:00,2018-05-14 15:45:00+00:00,0.25
2018-05-15 17:15:00+00:00,2018-05-15 17:30:00+00:00,0.25
2018-05-15 19:15:00+00:00,2018-05-15 20:30:00+00:00,1.25
2018-05-16 13:15:00+00:00,2018-05-17 00:00:00+00:00,10.75
2018-05-21 10:15:00+00:00,2018-05-21 13:00:00+00:00,2.75
2018-05-28 01:15:00+00:00,2018-05-28 01:45:00+00:00,0.5
2018-05-28 17:30:00+00:00,2018-05-28 17:45:00+00:00,0.25
2018-06-05 12:00:00+00:00,2018-06-05 12:15:00+00:00,0.25
2018-06-07 13:30:00+00:00,2018-06-07 14:15:00+00:00,0.75
2018-06-22 09:00:00+00:00,2018-06-22 09:45:00+00:00,0.75
2018-06-22 16:00:00+00:00,2018-06-22 16:30:00+00:00,0.5
2018-06-24 06:00:00+00:00,2018-06-24 06:15:00+00:00,0.25
2018-06-28 06:45:00+00:00,2018-06-28 07:30:00+00:00,0.75
2018-07-03 19:00:00+00:00,2018-07-03 19:30:00+00:00,0.5
2018-07-06 07:30:00+00:00,2018-07-06 07:45:00+00:00,0.25
2018-07-08 00:00:00+00:00,2018-07-08 01:15:00+00:00,1.25
2018-07-09 17:45:00+00:00,2018-07-09 19:00:00+00:00,1.25
2018-07-14 13:30:00+00:00,2018-07-14 15:00:00+00:00,1.5
2018-07-22 17:45:00+00:00,2018-07-22 18:00:00+00:00,0.25
2018-07-23 01:45:00+00:00,2018-07-23 02:00:00+00:00,0.25
2018-07-23 13:30:00+00:00,2018-07-23 15:45:00+00:00,2.25
2018-07-26 18:15:00+00:00,2018-07-26 19:15:00+00:00,1.0
2018-07-26 20:30:00+00:00,2018-07-26 21:15:00+00:00,0.75
2018-07-27 03:30:00+00:00,2018-07-27 04:45:00+00:00,1.25
2018-08-03 14:30:00+00:00,2018-08-03 15:45:00+00:00,1.25
2018-08-09 12:45:00+00:00,2018-08-09 17:45:00+00:00,5.0
2018-08-09 19:15:00+00:00,2018-08-10 06:30:00+00:00,11.25
2018-08-10 08:00:00+00:00,2018-08-10 09:00:00+00:00,1.0
2018-08-10 10:15:00+00:00,2018-08-10 16:00:00+00:00,5.75
2018-08-18 12:15:00+00:00,2018-08-18 12:45:00+00:00,0.5
2018-08-19 13:00:00+00:00,2018-08-19 16:00:00+00:00,3.0
2018-08-25 16:00:00+00:00,2018-08-25 18:45:00+00:00,2.75
2018-08-26 14:00:00+00:00,2018-08-26 14:45:00+00:00,0.75
2018-08-26 23:00:00+00:00,2018-08-26 23:30:00+00:00,0.5
2018-08-27 07:00:00+00:00,2018-08-27 10:00:00+00:00,3.0
2018-08-28 10:30:00+00:00,2018-08-28 16:00:00+00:00,5.5
2018-09-01 05:45:00+00:00,2018-09-01 06:00:00+00:00,0.25
2018-09-02 09:15:00+00:00,2018-09-02 12:45:00+00:00,3.5
2018-09-02 14:30:00+00:00,2018-09-02 17:00:00+00:00,2.5
2018-09-04 00:00:00+00:00,2018-09-04 00:45:00+00:00,0.75
2018-09-04 10:15:00+00:00,2018-09-04 13:15:00+00:00,3.0
2018-09-04 16:15:00+00:00,2018-09-04 17:15:00+00:00,1.0
2018-09-05 10:30:00+00:00,2018-09-05 11:15:00+00:00,0.75
2018-09-13 01:30:00+00:00,2018-09-13 02:15:00+00:00,0.75
2018-09-13 08:15:00+00:00,2018-09-14 06:15:00+00:00,22.0
2018-09-20 20:30:00+00:00,2018-09-20 21:30:00+00:00,1.0
2018-09-24 00:45:00+00:00,2018-09-24 04:00:00+00:00,3.25
2018-09-27 03:30:00+00:00,2018-09-27 04:00:00+00:00,0.5
2018-09-27 08:45:00+00:00,2018-09-27 13:30:00+00:00,4.75
2018-09-27 21:15:00+00:00,2018-09-28 00:45:00+00:00,3.5
2018-09-28 02:00:00+00:00,2018-09-28 05:30:00+00:00,3.5
2018-09-28 17:45:00+00:00,2018-09-28 20:45:00+00:00,3.0
2018-09-28 22:45:00+00:00,2018-09-29 00:30:00+00:00,1.75
2018-09-30 10:00:00+00:00,2018-09-30 10:30:00+00:00,0.5
2018-10-06 09:15:00+00:00,2018-10-06 09:30:00+00:00,0.25
2018-10-06 16:00:00+00:00,2018-10-06 18:15:00+00:00,2.25
2018-10-06 21:00:00+00:00,2018-10-07 06:30:00+00:00,9.5
2018-10-09 07:45:00+00:00,2018-10-09 08:30:00+00:00,0.75
2018-10-09 13:15:00+00:00,2018-10-09 14:00:00+00:00,0.75
2018-10-11 07:00:00+00:00,2018-10-11 12:00:00+00:00,5.0
2018-10-11 14:15:00+00:00,2018-10-11 16:00:00+00:00,1.75
2018-10-11 23:00:00+00:00,2018-10-12 03:00:00+00:00,4.0
2018-10-12 08:00:00+00:00,2018-10-12 13:00:00+00:00,5.0
2018-10-13 03:00:00+00:00,2018-10-13 09:00:00+00:00,6.0
2018-10-14 00:15:00+00:00,2018-10-14 01:15:00+00:00,1.0
2018-10-15 09:30:00+00:00,2018-10-15 11:45:00+00:00,2.25
2018-10-15 13:30:00+00:00,2018-10-15 15:15:00+00:00,1.75
2018-10-15 17:30:00+00:00,2018-10-15 20:30:00+00:00,3.0
2018-10-16 00:15:00+00:00,2018-10-16 01:00:00+00:00,0.75
2018-10-16 14:30:00+00:00,2018-10-16 15:15:00+00:00,0.75
2018-10-18 14:45:00+00:00,2018-10-18 17:15:00+00:00,2.5
2018-10-19 22:00:00+00:00,2018-10-19 22:45:00+00:00,0.75
2018-10-20 01:15:00+00:00,2018-10-22 00:30:00+00:00,47.25
2018-10-22 12:00:00+00:00,2018-10-22 13:45:00+00:00,1.75
2018-10-24 15:30:00+00:00,2018-10-24 16:00:00+00:00,0.5
