campaign_id,peak_discharge_cfs,discharge_percentile,duration_h,pre_sample_rise_rate_cfs_per_h,discharge_variability,dominant_hydrologic_condition,discharge_coverage_frac,turbidity_coverage_frac
1,836.0,99.83656780078086,1.18,105.28500000000001,299.20930983489006,Rising stage,0.4465,0.0
2,1950.0,99.96842087995013,2.92,315.96666666666664,529.0000747575209,Falling stage,0.4972,0.0
3,1440.0,99.93376587158372,1.42,140.5,457.7685467055826,Rising stage,0.4198,0.0
4,1200.0,99.90915876505134,5.08,102.26666666666667,340.0901768169385,Rising stage,0.5728,0.0
5,3100.0,99.99630893402015,31.67,161.08333333333334,626.0294601499804,Falling stage,0.4705,0.0
6,2040.0,99.97231700515108,4.58,265.8333333333333,522.8861822206167,Falling stage,0.6583,0.0
7,552.0,99.70040847796844,3.92,43.6,100.4389485957279,Rising stage,1.0,1.0
8,366.0,99.51339446832245,24.5,0.0,97.34930816938561,Rising stage,0.9452,0.9977
9,226.0,99.22610649955708,0.0,16.666666666666668,52.88906390751731,Rising stage,0.9586,0.931
10,476.0,99.63273893500443,6.0,29.416666666666668,99.92380455848972,Rising stage,1.0,1.0
11,1380.0,99.9265887988451,1.58,86.8,279.6992786885432,Falling stage,1.0,0.9756
12,763.0,99.81749729321828,0.0,39.61666666666667,254.19171327881023,Rising stage,1.0,1.0
13,1190.0,99.906492995177,2.58,95.14999999999999,269.9833538832641,Falling stage,1.0,0.9943
14,654.0,99.77258932379671,1.5,66.41666666666667,159.19598470395158,Falling stage,1.0,1.0
15,579.0,99.72050428163654,5.1,77.45,151.73179521568593,Rising stage,1.0,0.9903
16,2870.0,99.99364316414581,6.25,5.666666666666667,682.9176788237987,Falling stage,1.0,1.0
17,654.0,99.77258932379671,1.92,65.91666666666667,154.9094442902306,Rising stage,1.0,1.0
18,1580.0,99.94401883263887,25.5,70.98333333333333,356.00080587703866,Rising stage,0.8711,0.9778
19,785.0,99.8250844843991,9.08,65.35000000000001,223.54542743445364,Rising stage,0.9921,0.9881
20,557.0,99.70409954394829,6.42,46.5,98.36050418760311,Rising stage,1.0,0.6516
21,2960.0,99.99446340103022,25.67,59.1,583.2112212474793,Falling stage,1.0,0.7345
22,424.0,99.57552741231667,0.0,60.050000000000004,100.74699359955443,Peak stage,1.0,0.9931
23,2380.0,99.98400538075396,1.83,173.8166666666667,505.31916216068703,Falling stage,1.0,0.7186
24,780.0,99.82282883296696,0.42,118.3,143.70477945126413,Peak stage,1.0,0.9667
25,796.0,99.82816037271563,0.42,116.79666666666667,176.81292262434317,Peak stage,1.0,1.0
26,2330.0,99.98277502542734,8.75,75.2,480.60802027104523,Rising stage,1.0,0.7056
