campaign_id,detected,n_alarms_in_window,lead_lag_minutes
17,False,0,
42,True,1,-10.0
43,True,2,-340.0
44,True,1,-15.0
45,True,1,-20.0
46,True,2,-15.0
47,True,2,-80.0
48,True,1,-15.0
49,True,2,-310.0
50,True,1,-180.0
51,True,1,-10.0
52,True,1,-40.0
53,True,3,-300.0
54,True,4,-25.0
55,True,4,-25.0
56,False,0,
57,True,1,-20.0
58,True,6,-15.0
59,True,8,-220.0
60,True,1,-15.0
61,True,2,-41.0
62,True,1,-40.0
63,True,1,-10.0
64,True,1,-30.0
65,True,1,-60.0
66,True,1,-55.0
67,True,1,-120.0
68,True,1,-85.0
69,True,1,-10.0
70,True,1,-20.0
71,True,2,-5.0
72,True,1,-120.0
73,True,1,-25.0
74,True,1,-60.0
75,True,1,-190.0
76,True,1,-236.0
