campaign_id,detected,n_alarms_in_window,lead_lag_minutes
19,True,2,-60.0
20,True,1,-19.0
21,True,1,-165.0
22,True,1,-50.0
23,True,1,-170.0
24,True,1,-190.0
25,True,3,-345.0
26,True,1,-20.0
27,True,4,-155.0
28,True,3,-335.0
29,True,3,-5.0
30,True,3,-65.0
33,True,2,-200.0
34,True,1,-30.0
35,True,1,-110.0
36,True,1,-255.0
37,True,1,-39.0
38,True,1,-10.0
39,True,1,-14.0
40,True,1,-14.0
41,True,2,-4.0
42,True,1,-94.0
43,True,1,-45.0
44,True,1,-125.0
45,True,1,-80.0
46,False,0,
47,True,2,-95.0
48,True,1,-160.0
49,True,1,-30.0
50,True,1,-16.0
51,True,1,-266.0
52,True,1,-50.0
53,True,1,-175.0
54,False,0,
55,False,0,
56,True,1,-265.0
