alarm_time,alarm_end,duration_h
2017-10-18 07:15:00+00:00,2017-10-18 07:45:00+00:00,0.5
2017-10-18 10:15:00+00:00,2017-10-18 10:30:00+00:00,0.25
2017-10-20 14:15:00+00:00,2017-10-20 16:15:00+00:00,2.0
2017-10-23 23:15:00+00:00,2017-10-24 15:15:00+00:00,16.0
2017-10-31 18:00:00+00:00,2017-10-31 18:15:00+00:00,0.25
2017-11-11 21:45:00+00:00,2017-11-11 22:15:00+00:00,0.5
2017-11-11 23:30:00+00:00,2017-11-12 01:00:00+00:00,1.5
2017-11-12 03:45:00+00:00,2017-11-12 12:45:00+00:00,9.0
2017-11-15 11:45:00+00:00,2017-11-15 12:30:00+00:00,0.75
2017-11-16 06:00:00+00:00,2017-11-16 08:30:00+00:00,2.5
2017-11-22 10:00:00+00:00,2017-11-22 10:30:00+00:00,0.5
2017-11-25 08:45:00+00:00,2017-11-25 09:00:00+00:00,0.25
2017-11-25 21:30:00+00:00,2017-11-25 22:00:00+00:00,0.5
2017-11-25 23:15:00+00:00,2017-11-25 23:30:00+00:00,0.25
2017-11-26 04:00:00+00:00,2017-11-27 00:15:00+00:00,20.25
2017-11-27 16:30:00+00:00,2017-11-27 16:45:00+00:00,0.25
2017-11-27 18:00:00+00:00,2017-11-27 18:30:00+00:00,0.5
2017-11-27 20:30:00+00:00,2017-11-27 23:30:00+00:00,3.0
2017-11-28 01:15:00+00:00,2017-11-28 02:00:00+00:00,0.75
2017-11-30 12:00:00+00:00,2017-11-30 23:15:00+00:00,11.25
2017-12-01 11:30:00+00:00,2017-12-02 15:30:00+00:00,28.0
2017-12-02 18:15:00+00:00,2017-12-03 06:15:00+00:00,12.0
2017-12-03 08:00:00+00:00,2017-12-03 12:30:00+00:00,4.5
2017-12-12 06:00:00+00:00,2017-12-12 07:15:00+00:00,1.25
2017-12-13 02:00:00+00:00,2017-12-13 02:15:00+00:00,0.25
2017-12-15 22:00:00+00:00,2017-12-15 22:15:00+00:00,0.25
2017-12-17 07:30:00+00:00,2017-12-17 07:45:00+00:00,0.25
2017-12-17 13:15:00+00:00,2017-12-17 13:30:00+00:00,0.25
2017-12-20 04:45:00+00:00,2017-12-20 05:00:00+00:00,0.25
2017-12-21 03:15:00+00:00,2017-12-21 04:30:00+00:00,1.25
2017-12-26 15:15:00+00:00,2017-12-26 17:30:00+00:00,2.25
2017-12-26 20:30:00+00:00,2017-12-27 12:30:00+00:00,16.0
2017-12-27 21:00:00+00:00,2017-12-30 17:30:00+00:00,68.5
2017-12-30 20:00:00+00:00,2017-12-30 21:00:00+00:00,1.0
2018-01-19 17:45:00+00:00,2018-01-19 18:45:00+00:00,1.0
2018-01-19 20:30:00+00:00,2018-01-19 21:45:00+00:00,1.25
2018-01-21 05:15:00+00:00,2018-01-21 14:45:00+00:00,9.5
2018-01-21 18:45:00+00:00,2018-01-22 04:00:00+00:00,9.25
2018-02-01 23:30:00+00:00,2018-02-02 00:45:00+00:00,1.25
2018-02-02 12:15:00+00:00,2018-02-02 14:00:00+00:00,1.75
2018-02-02 17:00:00+00:00,2018-02-02 18:30:00+00:00,1.5
2018-02-05 06:45:00+00:00,2018-02-05 09:15:00+00:00,2.5
2018-02-05 16:15:00+00:00,2018-02-05 20:15:00+00:00,4.0
2018-02-06 01:10:00+00:00,2018-02-06 02:45:00+00:00,1.5833333333333333
2018-02-06 09:30:00+00:00,2018-02-06 13:00:00+00:00,3.5
2018-02-06 15:00:00+00:00,2018-02-06 15:15:00+00:00,0.25
2018-02-13 02:15:00+00:00,2018-02-13 02:30:00+00:00,0.25
2018-02-14 12:45:00+00:00,2018-02-14 13:30:00+00:00,0.75
2018-02-14 17:30:00+00:00,2018-02-16 08:45:00+00:00,39.25
2018-02-19 00:00:00+00:00,2018-02-20 03:00:00+00:00,27.0
2018-02-25 13:15:00+00:00,2018-02-25 14:15:00+00:00,1.0
2018-02-26 00:30:00+00:00,2018-02-26 19:45:00+00:00,19.25
2018-03-01 14:15:00+00:00,2018-03-01 17:45:00+00:00,3.5
2018-03-02 12:45:00+00:00,2018-03-02 13:00:00+00:00,0.25
2018-03-23 01:30:00+00:00,2018-03-23 04:30:00+00:00,3.0
2018-03-24 07:45:00+00:00,2018-03-25 13:00:00+00:00,29.25
2018-03-25 14:15:00+00:00,2018-03-25 14:45:00+00:00,0.5
2018-03-25 16:15:00+00:00,2018-03-25 17:00:00+00:00,0.75
2018-03-25 19:15:00+00:00,2018-03-25 19:45:00+00:00,0.5
2018-03-26 21:00:00+00:00,2018-03-26 21:15:00+00:00,0.25
2018-03-31 22:45:00+00:00,2018-04-01 00:15:00+00:00,1.5
2018-04-02 16:00:00+00:00,2018-04-02 18:30:00+00:00,2.5
2018-04-02 20:30:00+00:00,2018-04-02 21:15:00+00:00,0.75
2018-04-03 00:15:00+00:00,2018-04-03 10:00:00+00:00,9.75
2018-04-05 13:15:00+00:00,2018-04-05 17:15:00+00:00,4.0
2018-04-14 05:45:00+00:00,2018-04-17 21:30:00+00:00,87.75
2018-04-20 18:15:00+00:00,2018-04-21 05:45:00+00:00,11.5
