campaign_id,peak_discharge_cfs,discharge_percentile,duration_h,pre_sample_rise_rate_cfs_per_h,discharge_variability,dominant_hydrologic_condition,discharge_coverage_frac,turbidity_coverage_frac
50,216.0,99.83279816077977,3.67,35.803333333333335,24.378815198552953,Peak stage,1.0,1.0
51,39.1,99.40233787016102,0.0,5.468333333333334,5.14063036558315,Peak stage,1.0,0.9103
52,252.0,99.86425406235024,3.6,41.25666666666667,52.61265837327633,Falling stage,1.0,0.0
53,62.3,99.54990616007888,12.25,9.721666666666666,6.871079904758196,Peak stage,1.0,0.5342
54,282.0,99.88114313701895,15.75,18.7,41.314273833217484,Peak stage,1.0,1.0
55,797.0,99.98691096713175,35.33,60.53666666666667,158.02195950538518,Falling stage,0.9508,0.9807
56,30.9,99.30733682514952,0.0,-3.9266666666666663,5.696522623495846,Falling stage,1.0,0.9724
57,107.0,99.67931869472787,0.33,13.318333333333333,12.961654930245038,Rising stage,1.0,1.0
58,1510.0,99.99978888656665,44.5,105.45166666666667,248.00977821471213,Rising stage,0.9926,0.9072
59,715.0,99.98078867756435,49.33,10.149999999999999,101.05115737776866,Rising stage,1.0,0.9647
60,96.2,99.65461842302487,0.33,10.065,16.27935234694183,Rising stage,0.953,0.1007
61,216.0,99.83279816077977,0.48,35.64666666666667,33.106958039398855,Falling stage,1.0,1.0
62,104.0,99.67066304396015,0.75,17.308333333333334,17.192231362373644,Peak stage,1.0,0.9935
63,296.0,99.88895433405322,0.77,25.631666666666664,41.91770360221062,Falling stage,1.0,0.9805
64,147.0,99.75004169490309,0.33,24.474999999999998,18.340898692203076,Falling stage,1.0,0.9463
65,154.0,99.7597529128376,0.33,25.56833333333333,20.070762370682274,Falling stage,1.0,0.9933
66,533.0,99.95693285959479,1.08,66.14166666666667,68.80487299902349,Falling stage,1.0,0.9937
67,299.0,99.89043212808674,3.58,12.851666666666667,42.62577171134139,Peak stage,1.0,0.9894
68,69.5,99.58199540194941,0.0,8.548333333333334,10.028868742620226,Falling stage,1.0,0.9241
69,132.0,99.72534142320009,2.33,14.409999999999998,20.145292502920615,Falling stage,1.0,0.9942
70,85.8,99.6288625841551,1.67,14.181666666666667,12.584409149568947,Peak stage,1.0,1.0
71,1050.0,99.99451105073267,12.75,163.92166666666665,208.31550310107033,Falling stage,1.0,1.0
72,77.7,99.60796235425256,6.58,12.170000000000002,13.719802494032349,Falling stage,1.0,0.8348
73,86.0,99.62970703788852,0.0,10.073333333333334,10.774647900746338,Peak stage,1.0,0.9931
74,353.0,99.91281015202279,5.42,16.456666666666667,52.93677530232373,Falling stage,1.0,0.8714
75,236.0,99.85116502948199,0.0,39.306666666666665,35.731731523166886,Peak stage,1.0,0.9862
76,455.0,99.94278825955975,0.0,33.550000000000004,59.10978674048611,Peak stage,1.0,0.0
