alarm_time,alarm_end,duration_h
2017-10-13 13:45:00+00:00,2017-10-13 15:30:00+00:00,1.75
2017-10-24 02:00:00+00:00,2017-10-24 04:00:00+00:00,2.0
2017-10-24 06:35:00+00:00,2017-10-24 13:00:00+00:00,6.416666666666667
2017-11-11 17:15:00+00:00,2017-11-11 18:00:00+00:00,0.75
2017-11-11 21:45:00+00:00,2017-11-12 12:15:00+00:00,14.5
2017-12-20 03:30:00+00:00,2017-12-20 03:45:00+00:00,0.25
2017-12-20 09:30:00+00:00,2017-12-20 13:30:00+00:00,4.0
2017-12-21 03:30:00+00:00,2017-12-21 05:00:00+00:00,1.5
2017-12-21 07:15:00+00:00,2017-12-21 16:00:00+00:00,8.75
2017-12-26 15:15:00+00:00,2017-12-26 16:15:00+00:00,1.0
2017-12-26 21:30:00+00:00,2017-12-27 15:30:00+00:00,18.0
2018-01-27 23:45:00+00:00,2018-01-28 01:00:00+00:00,1.25
2018-01-28 04:15:00+00:00,2018-01-28 04:30:00+00:00,0.25
2018-02-05 07:45:00+00:00,2018-02-05 08:30:00+00:00,0.75
2018-02-05 17:15:00+00:00,2018-02-05 23:30:00+00:00,6.25
2018-02-06 01:30:00+00:00,2018-02-06 03:15:00+00:00,1.75
2018-02-07 23:45:00+00:00,2018-02-08 00:30:00+00:00,0.75
2018-02-08 02:45:00+00:00,2018-02-08 03:30:00+00:00,0.75
2018-02-14 18:15:00+00:00,2018-02-15 06:00:00+00:00,11.75
2018-02-15 15:30:00+00:00,2018-02-15 22:30:00+00:00,7.0
2018-02-18 07:15:00+00:00,2018-02-20 06:45:00+00:00,47.5
2018-02-22 14:45:00+00:00,2018-02-22 17:15:00+00:00,2.5
2018-02-22 18:45:00+00:00,2018-02-22 19:00:00+00:00,0.25
2018-02-24 19:00:00+00:00,2018-02-24 19:30:00+00:00,0.5
2018-02-25 17:15:00+00:00,2018-02-25 22:45:00+00:00,5.5
2018-02-26 04:30:00+00:00,2018-02-26 21:00:00+00:00,16.5
2018-02-26 23:45:00+00:00,2018-02-27 00:15:00+00:00,0.5
2018-03-02 13:15:00+00:00,2018-03-02 13:25:00+00:00,0.16666666666666666
2018-03-13 15:40:00+00:00,2018-03-13 16:00:00+00:00,0.3333333333333333
2018-03-14 05:00:00+00:00,2018-03-14 05:25:00+00:00,0.4166666666666667
2018-03-14 21:40:00+00:00,2018-03-14 23:10:00+00:00,1.5
2018-03-18 17:50:00+00:00,2018-03-18 17:55:00+00:00,0.08333333333333333
2018-03-18 22:50:00+00:00,2018-03-19 04:20:00+00:00,5.5
2018-03-19 06:30:00+00:00,2018-03-19 06:35:00+00:00,0.08333333333333333
2018-03-24 07:35:00+00:00,2018-03-25 22:25:00+00:00,38.833333333333336
2018-03-30 02:45:00+00:00,2018-03-30 03:40:00+00:00,0.9166666666666666
2018-03-30 04:45:00+00:00,2018-03-30 04:50:00+00:00,0.08333333333333333
2018-03-31 22:25:00+00:00,2018-04-01 00:05:00+00:00,1.6666666666666667
2018-04-02 15:35:00+00:00,2018-04-03 12:45:00+00:00,21.166666666666668
2018-04-04 19:20:00+00:00,2018-04-04 19:45:00+00:00,0.4166666666666667
2018-04-05 08:40:00+00:00,2018-04-05 09:30:00+00:00,0.8333333333333334
2018-04-05 12:15:00+00:00,2018-04-05 15:50:00+00:00,3.5833333333333335
2018-04-05 23:15:00+00:00,2018-04-06 00:10:00+00:00,0.9166666666666666
2018-04-06 17:15:00+00:00,2018-04-07 02:15:00+00:00,9.0
2018-04-07 15:55:00+00:00,2018-04-08 08:25:00+00:00,16.5
2018-04-08 17:30:00+00:00,2018-04-08 21:20:00+00:00,3.8333333333333335
2018-04-09 04:30:00+00:00,2018-04-09 04:45:00+00:00,0.25
2018-04-09 06:05:00+00:00,2018-04-09 23:20:00+00:00,17.25
2018-04-10 14:15:00+00:00,2018-04-10 14:20:00+00:00,0.08333333333333333
2018-04-11 06:40:00+00:00,2018-04-11 07:30:00+00:00,0.8333333333333334
2018-04-12 13:00:00+00:00,2018-04-13 02:35:00+00:00,13.583333333333334
2018-04-13 11:45:00+00:00,2018-04-13 12:15:00+00:00,0.5
2018-04-14 03:45:00+00:00,2018-04-14 23:45:00+00:00,20.0
2018-04-15 01:30:00+00:00,2018-04-15 02:45:00+00:00,1.25
2018-04-15 13:20:00+00:00,2018-04-15 16:55:00+00:00,3.5833333333333335
2018-04-16 07:20:00+00:00,2018-04-16 17:50:00+00:00,10.5
2018-04-19 09:30:00+00:00,2018-04-19 09:45:00+00:00,0.25
2018-04-21 21:55:00+00:00,2018-04-21 22:15:00+00:00,0.3333333333333333
2018-04-22 08:00:00+00:00,2018-04-22 09:15:00+00:00,1.25
