campaign_id,peak_discharge_cfs,discharge_percentile,duration_h,pre_sample_rise_rate_cfs_per_h,discharge_variability,dominant_hydrologic_condition,discharge_coverage_frac,turbidity_coverage_frac
1,629.0,99.96693408390274,0.58,95.435,149.84658205697565,Falling stage,0.3576,0.0
2,590.0,99.96229679079156,0.58,75.165,153.90799599683248,Falling stage,0.3553,0.0
3,536.0,99.95403031176723,4.68,53.11833333333333,168.07991295809265,Rising stage,0.403,0.0
4,446.0,99.92257736718692,0.42,61.82666666666666,119.64070356454549,Falling stage,0.3557,0.0
5,744.0,99.98064434179673,29.6,0.0,119.35122310309582,Falling stage,0.344,0.0
6,1600.0,99.99979837856039,15.83,54.845,409.46495928153035,Rising stage,0.4328,0.0
7,329.0,99.83467041951373,0.75,54.16,108.20803383067107,Falling stage,0.3529,0.0
8,855.0,99.98568487778716,7.9,67.075,219.4050259392128,Falling stage,0.3891,0.0
9,637.0,99.96774056966122,7.17,55.446666666666665,174.12734975100108,Rising stage,0.3853,0.0
10,1160.0,99.99616919264727,0.17,58.92333333333334,311.7130799797873,Rising stage,0.5238,0.0
11,742.0,99.9804427203571,3.08,56.74666666666667,204.60122690664642,Rising stage,0.3791,0.0
12,652.0,99.97076489125548,0.75,108.27999999999999,168.52824645273878,Falling stage,0.3636,0.0
13,235.0,99.74293266448781,0.67,18.493333333333332,44.733826792051666,Rising stage,0.3595,0.0
14,572.0,99.95907084775767,17.52,12.881666666666668,125.59554807807385,Falling stage,0.3746,0.0
15,287.0,99.79071694567713,0.93,10.523333333333333,67.65732750347358,Rising stage,0.3718,0.0
16,418.0,99.90685089489676,21.43,27.965,70.40454331597623,Peak stage,0.3557,0.0
17,676.0,99.97499894148744,10.28,2.0316666666666667,148.09370313503285,Falling stage,0.5597,0.0
18,288.0,99.7915234314356,0.77,10.676666666666668,60.08561993187224,Rising stage,0.3636,0.0
19,302.0,99.80301585349379,11.77,16.083333333333332,50.96999084898288,Rising stage,0.9825,0.9825
20,320.0,99.82297637601592,2.25,5.1000000000000005,75.68405176825924,Falling stage,1.0,1.0
21,397.0,99.89414874420086,5.42,10.421666666666667,54.46779489404478,Falling stage,1.0,0.9952
22,59.8,99.35662598618087,3.5,9.709999999999999,9.542397130661273,Peak stage,1.0,0.5241
23,430.0,99.9118914308872,3.25,19.121666666666666,85.51197769016693,Rising stage,1.0,1.0
24,250.0,99.7556348151837,0.0,11.581666666666665,68.52770861845717,Rising stage,1.0,1.0
25,1280.0,99.9977821641642,9.35,9.336666666666668,237.73550760137186,Falling stage,1.0,1.0
26,163.0,99.63909762308485,1.17,11.776666666666666,21.56163183414756,Falling stage,1.0,1.0
27,492.0,99.94052167531287,29.17,9.409999999999998,103.5783115853679,Rising stage,1.0,0.9939
28,560.0,99.95786111911997,33.52,16.371666666666666,93.46562192018125,Falling stage,1.0,0.989
29,699.0,99.97701515588362,31.17,12.763333333333334,62.43207167222763,Rising stage,1.0,0.9769
30,444.0,99.92076277423037,31.67,10.561666666666666,55.91855400772006,Falling stage,0.9981,0.9981
31,181.0,99.668534353269,5.67,8.461666666666668,45.176344407574966,Falling stage,0.5493,0.0
32,34.8,99.15621427520117,33.25,0.0,5.110182579259209,Rising stage,0.4485,0.9357
33,73.6,99.43062105452046,3.33,11.251666666666667,14.09577948664334,Falling stage,1.0,1.0
34,205.0,99.7068424267963,1.27,9.82,29.077416925493264,Falling stage,1.0,1.0
35,129.0,99.57659497680346,2.58,6.548333333333333,22.479487385472925,Rising stage,1.0,0.9943
36,56.0,99.33706870653798,0.25,8.105,12.711904293592006,Rising stage,1.0,0.0
37,329.0,99.83467041951373,5.95,6.1499999999999995,49.43041496261588,Rising stage,1.0,0.9954
38,478.0,99.93507789644319,2.57,73.91333333333334,83.25832375533655,Falling stage,1.0,0.9543
39,55.9,99.33565735646066,0.0,7.776666666666666,7.987965788048994,Peak stage,1.0,0.9792
40,63.6,99.38203028757266,2.58,5.151666666666666,9.831861756688165,Falling stage,1.0,0.9943
41,55.9,99.33565735646066,0.0,4.248333333333334,7.479047536564787,Rising stage,1.0,1.0
42,494.0,99.94233626826943,0.75,5.13,125.51424138665251,Rising stage,1.0,1.0
43,439.0,99.91955304559266,18.25,8.648333333333333,67.89565454506635,Rising stage,1.0,0.9945
44,780.0,99.98326542051176,0.42,129.60999999999999,199.79318572230974,Falling stage,1.0,0.9933
45,460.0,99.92781952461696,1.15,0.25000000000000006,94.22065682237861,Rising stage,1.0,0.9873
46,1280.0,99.9977821641642,21.3,58.13333333333333,232.42133184628543,Rising stage,0.9775,0.97
47,501.0,99.94455410410521,0.52,68.60666666666667,98.41036769548352,Falling stage,1.0,0.9934
48,732.0,99.9792329917194,4.35,65.11166666666666,170.7742898427299,Rising stage,1.0,1.0
49,424.0,99.90927035217216,0.83,66.09166666666667,87.76676535070483,Rising stage,1.0,1.0
50,531.0,99.95282058312954,0.83,68.14833333333333,122.96892827038252,Falling stage,1.0,0.9935
51,945.0,99.99012054945875,1.0,67.61333333333333,176.00927289857825,Falling stage,1.0,0.1282
52,499.0,99.94394923978636,0.25,65.66666666666667,69.9316170436622,Peak stage,1.0,1.0
53,759.0,99.9814508275552,0.6,82.11,147.1048595677669,Rising stage,1.0,1.0
54,392.0,99.89092280116698,0.0,64.34333333333333,113.59135157825659,Peak stage,0.9931,0.9931
55,473.0,99.9340697892451,0.0,73.56666666666666,125.34316975474275,Rising stage,0.9931,1.0
56,428.0,99.91108494512872,3.93,70.96833333333333,127.40632761789512,Peak stage,1.0,1.0
