campaign_id,detected,n_alarms_in_window,lead_lag_minutes
42,True,1,45.0
43,True,1,-25.0
44,True,2,-210.0
48,True,1,10.0
50,True,2,-185.0
51,True,1,335.0
54,True,1,30.0
55,True,4,-25.0
56,True,1,-225.0
57,True,1,-15.0
58,True,4,-155.0
59,True,5,-300.0
61,True,1,-1.0
62,True,1,-230.0
63,True,1,-340.0
64,True,1,-180.0
65,True,1,-60.0
66,True,2,-300.0
67,True,2,-190.0
68,True,1,-15.0
69,True,1,-5.0
70,True,1,-20.0
71,True,2,-10.0
72,True,1,245.0
73,True,1,-130.0
74,True,2,-185.0
75,True,1,0.0
