campaign_id,detected,n_alarms_in_window,lead_lag_minutes
9,True,1,-125.0
10,True,3,-325.0
11,True,1,-160.0
12,True,1,-40.0
13,True,2,-135.0
14,True,1,-25.0
15,True,1,62.0
16,True,5,-255.0
17,True,2,-270.0
18,True,2,-65.0
19,True,1,-20.0
20,True,3,-255.0
21,True,1,-10.0
22,True,1,-50.0
23,True,1,-31.0
24,True,1,-181.0
25,True,1,-186.0
26,True,1,-281.0
27,True,3,-356.0
28,True,1,-111.0
29,True,1,-71.0
30,True,1,-21.0
31,True,1,-51.0
32,True,2,-11.0
33,True,1,-216.0
34,True,1,-16.0
35,True,1,-31.0
36,True,1,-225.0
37,True,1,-175.0
38,True,3,-106.0
39,True,2,324.0
40,True,2,-240.0
41,True,6,-30.0
42,True,1,-20.0
43,True,1,-220.0
44,True,1,-71.0
45,True,1,-21.0
46,True,1,-50.0
47,True,2,-80.0
48,False,0,
49,True,1,-155.0
50,True,1,-85.0
51,True,1,-200.0
52,True,2,-105.0
53,True,1,-90.0
