campaign_id,detected,n_alarms_in_window,lead_lag_minutes
17,False,0,
42,True,1,-10.0
43,True,2,-335.0
44,True,1,-15.0
45,True,1,-15.0
46,True,1,-10.0
47,True,1,-60.0
48,True,1,-15.0
49,True,2,-305.0
50,True,2,-180.0
51,False,0,
52,True,1,-35.0
53,False,0,
54,False,0,
55,True,1,-30.0
56,False,0,
57,True,1,-15.0
58,True,5,-15.0
59,False,0,
60,False,0,
61,True,3,-181.0
62,True,1,-35.0
63,True,1,-5.0
64,True,1,-20.0
65,True,1,-60.0
66,True,2,-55.0
67,True,1,-100.0
68,True,3,-85.0
69,True,1,-245.0
70,True,2,-280.0
71,True,2,-5.0
72,True,1,-120.0
73,True,1,-20.0
74,True,1,-60.0
75,True,1,-185.0
76,True,1,-246.0
