campaign_id,peak_discharge_cfs,discharge_percentile,duration_h,pre_sample_rise_rate_cfs_per_h,discharge_variability,dominant_hydrologic_condition,discharge_coverage_frac,turbidity_coverage_frac
1,853.0,99.89410394474821,2.43,86.48333333333333,222.41314973631216,Falling stage,0.3621,0.0
2,702.0,99.82809914177736,7.5,31.383333333333336,159.59838910213034,Falling stage,0.383,0.0
3,12.4,51.93520635312249,0.17,-0.05000000000000012,0.222118740078089,"Stable, normal stage",0.3333,0.2993
4,1270.0,99.97148336182326,6.75,64.93333333333334,373.80328319444163,Rising stage,0.5689,0.5289
5,1060.0,99.94456878197107,1.27,0.7999999999999998,260.8992188642097,Falling stage,0.3774,0.3774
6,288.0,99.57929948397701,5.45,39.93333333333333,83.84754507241439,Falling stage,0.378,0.378
7,4350.0,99.99983979416754,17.53,37.766666666666666,782.1578302589456,Rising stage,0.6254,0.5155
8,629.0,99.78468336118245,7.58,45.96666666666667,221.79661285569708,Peak stage,0.4746,0.4449
9,1450.0,99.98446003425201,0.67,45.01666666666667,516.873770160748,Rising stage,1.0,0.6732
10,212.0,99.51057118185444,0.0,25.066666666666666,47.93743694766243,Rising stage,1.0,0.9517
11,606.0,99.76946380709936,0.0,69.25,189.97008731312096,Peak stage,1.0,1.0
12,1220.0,99.96699759851457,0.0,82.36666666666666,421.1779078563004,Rising stage,0.9241,1.0
13,280.0,99.57401269150604,2.58,31.066666666666666,71.02569781881309,Falling stage,1.0,0.8239
14,647.0,99.79349468196739,0.0,69.46666666666667,127.91185361793883,Rising stage,1.0,0.469
15,995.0,99.93271355036951,0.0,-42.0,304.71379342707854,Falling stage,1.0,0.9792
16,812.0,99.88144768398438,27.0,98.18333333333334,180.85137119896385,Rising stage,1.0,0.0
17,633.0,99.78612521367452,2.83,73.48333333333333,128.69975190430532,Rising stage,1.0,0.0
18,774.0,99.8617423665926,17.1,37.93333333333333,122.52426933641526,Rising stage,1.0,0.8257
19,238.0,99.54004905502589,0.02,32.583333333333336,30.661559997727657,Peak stage,1.0,0.8897
20,1260.0,99.970682332661,2.93,65.38333333333334,310.3220440808551,Rising stage,1.0,0.9944
21,1010.0,99.93511663785631,1.27,166.48333333333332,204.3049957127623,Falling stage,1.0,1.0
22,568.0,99.7369420231113,0.0,81.83333333333333,83.36537296146302,Rising stage,1.0,0.9586
23,713.0,99.83402675757813,1.5,63.86666666666667,159.89623544169908,"Stable, normal stage",1.0,0.9815
24,557.0,99.72909193732107,0.0,89.23333333333333,80.199934794761,Peak stage,1.0,0.9861
25,647.0,99.79349468196739,0.73,104.58333333333333,106.82267492301895,Peak stage,1.0,1.0
26,540.0,99.71595505905988,0.0,46.43333333333334,101.32743190848089,Rising stage,1.0,1.0
27,1200.0,99.96587615768739,9.83,88.66666666666667,303.20685755754107,Falling stage,1.0,1.0
28,620.0,99.77923636287903,0.25,100.78333333333335,82.76695207728979,Falling stage,1.0,0.9252
29,606.0,99.76946380709936,0.0,93.96666666666665,96.65308303202728,Peak stage,1.0,1.0
30,681.0,99.81592349851088,0.0,89.58333333333333,199.65619610559708,Peak stage,1.0,0.8194
31,624.0,99.78212006786319,1.33,68.45,175.52332210672316,Rising stage,1.0,1.0
32,602.0,99.76545866128802,24.0,86.28333333333335,101.6510590369957,Rising stage,1.0,1.0
33,1170.0,99.96251183520587,2.08,117.25,308.7956447015927,Falling stage,1.0,1.0
34,212.0,99.51057118185444,0.0,30.433333333333334,34.35136308905581,Falling stage,1.0,0.7569
35,407.0,99.6427409936286,0.0,65.7,51.05399338332523,Rising stage,1.0,1.0
36,2550.0,99.99743670668074,11.6,36.766666666666666,378.54952236644624,Rising stage,1.0,0.6197
37,584.0,99.75039931303739,0.02,94.16666666666667,86.36786743288394,Peak stage,1.0,0.0
38,1040.0,99.94088404782464,20.42,170.5,227.3906729807557,Falling stage,1.0,0.6298
39,2060.0,99.99439279586413,14.83,97.38333333333333,489.57552755542133,Falling stage,1.0,0.8975
40,672.0,99.8090346477154,1.42,46.68333333333334,136.94467103964274,Falling stage,1.0,0.9938
41,1010.0,99.93511663785631,50.5,93.06666666666666,283.28077912270004,Falling stage,1.0,0.9973
42,257.0,99.55671046160106,0.0,33.6,40.66768762850684,Peak stage,1.0,1.0
43,239.0,99.54085008418816,0.25,31.616666666666664,48.06130419531127,Rising stage,0.9932,0.9932
44,196.0,99.48638010115396,0.0,31.378333333333334,37.67168082407674,Peak stage,1.0,1.0
45,338.0,99.60877735714845,0.0,40.73166666666666,55.833105680223355,Rising stage,1.0,0.9931
46,765.0,99.85677598578654,1.68,105.66666666666667,171.96268367653423,Falling stage,1.0,1.0
47,1020.0,99.93751972534312,20.27,87.83333333333333,117.60765475876629,Falling stage,1.0,0.9974
48,642.0,99.79045077115077,0.0,85.73333333333333,80.29062931706457,Falling stage,1.0,1.0
49,873.0,99.90163361887353,2.85,127.85000000000001,167.7272537248538,Rising stage,1.0,0.9944
50,382.0,99.6337694670112,0.0,46.449999999999996,94.26586446865582,Rising stage,1.0,0.8276
51,213.0,99.51345488683862,0.0,30.566666666666666,58.07163499668095,Peak stage,1.0,1.0
52,1050.0,99.94376775280881,8.6,51.300000000000004,322.9991989745491,Rising stage,1.0,0.8065
53,688.0,99.82024905598713,0.02,90.88333333333333,259.8371956353289,Rising stage,1.0,0.0
