campaign_id,detected,n_alarms_in_window,lead_lag_minutes
10,True,1,110.0
11,True,1,-130.0
12,True,1,-15.0
13,True,2,-110.0
15,True,1,32.0
18,True,1,-280.0
19,True,1,-300.0
20,True,2,-260.0
21,True,1,-10.0
22,True,1,-45.0
23,True,1,-21.0
24,True,1,-176.0
25,True,1,9.0
26,False,0,
27,True,2,-6.0
28,True,1,-226.0
29,True,1,-66.0
30,True,1,-16.0
31,True,1,-31.0
32,True,2,-11.0
33,True,1,-236.0
35,True,1,-206.0
39,True,1,-6.0
40,True,1,-235.0
41,True,5,-50.0
42,True,1,-15.0
43,True,2,-155.0
44,True,1,-181.0
45,True,1,-16.0
46,True,1,-60.0
47,True,2,-260.0
48,True,1,-35.0
49,True,2,-160.0
50,True,1,-225.0
51,False,0,
52,True,1,-75.0
