alarm_time,alarm_end,duration_h
2018-08-23 13:30:00+00:00,2018-08-23 18:45:00+00:00,5.25
2018-08-25 06:30:00+00:00,2018-08-26 04:45:00+00:00,22.25
2018-08-26 11:45:00+00:00,2018-08-29 22:00:00+00:00,82.25
2018-09-03 00:30:00+00:00,2018-09-03 01:00:00+00:00,0.5
2018-09-04 02:30:00+00:00,2018-09-04 04:00:00+00:00,1.5
2018-09-04 08:00:00+00:00,2018-09-04 21:00:00+00:00,13.0
2018-09-05 11:45:00+00:00,2018-09-05 14:00:00+00:00,2.25
2018-09-12 17:15:00+00:00,2018-09-12 17:30:00+00:00,0.25
2018-09-12 21:30:00+00:00,2018-09-14 12:45:00+00:00,39.25
2018-09-15 19:00:00+00:00,2018-09-15 19:30:00+00:00,0.5
2018-09-27 02:45:00+00:00,2018-09-27 04:15:00+00:00,1.5
2018-09-27 05:30:00+00:00,2018-09-27 06:00:00+00:00,0.5
2018-09-27 08:15:00+00:00,2018-09-27 13:15:00+00:00,5.0
2018-10-06 13:00:00+00:00,2018-10-06 13:30:00+00:00,0.5
2018-10-07 17:45:00+00:00,2018-10-08 13:15:00+00:00,19.5
2018-10-09 12:15:00+00:00,2018-10-09 19:45:00+00:00,7.5
2018-10-10 12:45:00+00:00,2018-10-10 13:45:00+00:00,1.0
2018-10-10 17:00:00+00:00,2018-10-10 18:45:00+00:00,1.75
2018-10-10 20:00:00+00:00,2018-10-10 20:30:00+00:00,0.5
2018-10-11 01:45:00+00:00,2018-10-11 02:00:00+00:00,0.25
2018-10-11 07:15:00+00:00,2018-10-11 09:15:00+00:00,2.0
2018-10-11 10:30:00+00:00,2018-10-11 12:30:00+00:00,2.0
2018-10-11 16:15:00+00:00,2018-10-11 18:00:00+00:00,1.75
2018-10-12 01:00:00+00:00,2018-10-12 06:15:00+00:00,5.25
2018-10-13 05:45:00+00:00,2018-10-13 07:30:00+00:00,1.75
2018-10-20 07:00:00+00:00,2018-10-20 12:30:00+00:00,5.5
2018-10-24 10:00:00+00:00,2018-10-24 14:00:00+00:00,4.0
2018-10-26 02:45:00+00:00,2018-10-26 05:00:00+00:00,2.25
2018-10-26 08:00:00+00:00,2018-10-26 08:15:00+00:00,0.25
2018-10-26 11:30:00+00:00,2018-10-27 19:30:00+00:00,32.0
2018-10-28 10:00:00+00:00,2018-10-28 22:00:00+00:00,12.0
2018-10-29 13:45:00+00:00,2018-10-29 17:30:00+00:00,3.75
2018-10-30 13:45:00+00:00,2018-10-31 17:45:00+00:00,28.0
2018-11-02 01:15:00+00:00,2018-11-02 05:00:00+00:00,3.75
2018-11-02 22:00:00+00:00,2018-11-02 23:00:00+00:00,1.0
2018-11-04 14:45:00+00:00,2018-11-04 17:30:00+00:00,2.75
2018-11-04 21:30:00+00:00,2018-11-04 22:00:00+00:00,0.5
2018-11-04 23:30:00+00:00,2018-11-05 00:00:00+00:00,0.5
2018-11-06 08:00:00+00:00,2018-11-06 08:15:00+00:00,0.25
2018-11-10 12:00:00+00:00,2018-11-10 14:00:00+00:00,2.0
2018-11-10 16:00:00+00:00,2018-11-11 03:15:00+00:00,11.25
2018-11-17 14:00:00+00:00,2018-11-17 19:00:00+00:00,5.0
2018-11-18 10:15:00+00:00,2018-11-18 16:30:00+00:00,6.25
2018-11-21 07:45:00+00:00,2018-11-21 15:45:00+00:00,8.0
2018-11-22 19:30:00+00:00,2018-11-22 20:45:00+00:00,1.25
2018-11-27 15:45:00+00:00,2018-11-27 19:00:00+00:00,3.25
2018-12-07 16:45:00+00:00,2018-12-07 20:45:00+00:00,4.0
